timestamp	java_pid	java_cpu	k6_pid	k6_cpu
23:07:46	18964	24.5	19044	0.0
23:07:51	18964	404.1	19044	46.6
23:07:56	18964	517.9	19044	2.2
23:08:01	18964	576.7	19044	2.5
23:08:06	18964	504.7	19044	2.1
23:08:11	18964	538.1	19044	2.3
23:08:16	18964	541.4	19044	2.7
23:08:22	18964	567.9	19044	2.3
23:08:27	18964	417.9	19044	1.6
23:08:32	18964	3.8	19044	0.7
23:08:37	18964	6.2	19044	0.4
23:08:42	18964	0.8	19044	0.4
23:08:47	18964	1.3	19044	0.7
23:08:52	18964	1.4	19044	2.0
23:08:57	18964	5.5	19044	2.4
23:09:02	18964	11.5	19044	3.1
23:09:07	18964	8.1	19044	3.3
23:09:12	18964	12.3	19044	2.0
23:09:17	18964	6.4	19044	1.3
23:09:22	18964	14.0	19044	1.7
23:09:27	18964	11.6	19044	2.3
23:09:32	18964	3.1	19044	1.0
23:09:37	18964	10.5	19044	1.6
23:09:42	18964	3.6	19044	2.5
23:09:47	18964	4.2	19044	1.2
23:09:52	18964	12.2	19044	69.0
23:09:57	18964	1.6	19044	1.7
23:10:02	18964	4.4	19044	2.3
23:10:07	18964	2.5	19044	2.1
23:10:12	18964	1.9	19044	3.6
23:10:17	18964	10.1	19044	4.0
23:10:22	18964	3.7	19044	2.6
23:10:27	18964	7.4	19044	4.3
23:10:32	18964	7.6	19044	2.8
23:10:37	18964	4.9	19044	4.2
23:10:42	18964	7.5	19044	4.1
23:10:47	18964	2.7	19044	3.9
23:10:52	18964	3.6	19044	3.7
23:10:57	18964	4.1	19044	4.1
23:11:02	18964	2.8	19044	5.0
23:11:07	18964	8.1	19044	5.2
23:11:12	18964	5.2	19044	2.2
23:11:18	18964	3.5	19044	1.9
23:11:23	18964	3.9	19044	1.8
23:11:28	18964	3.7	19044	1.6
23:11:33	18964	5.4	19044	1.6
23:11:38	18964	3.2	19044	2.7
23:11:43	18964	3.6	19044	1.5
23:11:48	18964	7.6	19044	2.0
23:11:53	18964	13.2	19044	83.6
23:11:58	18964	7.1	19044	52.8
23:12:03	18964	7.4	19044	2.5
23:12:08	18964	8.5	19044	3.3
23:12:13	18964	5.7	19044	3.0
23:12:18	18964	10.5	19044	2.7
23:12:23	18964	3.8	19044	3.2
23:12:28	18964	6.0	19044	2.9
23:12:33	18964	8.7	19044	4.3
23:12:38	18964	5.5	19044	3.9
23:12:43	18964	6.8	19044	4.1
23:12:48	18964	11.1	19044	6.0
23:12:53	18964	15.2	19044	4.7
23:12:58	18964	11.6	19044	5.8
23:13:03	18964	14.9	19044	5.3
23:13:08	18964	12.6	19044	4.7
23:13:13	18964	15.6	19044	4.6
23:13:18	18964	60.3	19044	6.2
23:13:23	18964	28.1	19044	7.2
23:13:28	18964	21.0	19044	7.7
